Name;	Street;	Zip;	City;	Longitude;	Latitude;	Phone;	Web;	PhotoLink;	Monday;	Tuesday;	Wednesday;	Thursday;	Friday;	Saturday;	Sunday
PUK Sp. z o.o. GPSZOK (Gminny Punkt Selektywnej Zbiórki Odpadów Komunalnych);	Sikorskiego 38;	62-300;	Września;	52.321567599999995;	17.593672;	508088381;	null;	https://lh5.googleusercontent.com/p/AF1QipOORdaitBIPDQhcVpnsXbeiqnPjYl7MmhXQG9Hk=s0;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	07:00–12:00;	Zamknięte
Stena Recycling Sp. z o.o.;	Rabowicka 2;	62-020;	Swarzędz;	52.401767799999995;	17.086309;	724000405;	https://www.stenarecycling.pl/kontakt/swarzdz/swarzdz/;	https://lh5.googleusercontent.com/p/AF1QipP_BkKK6et61l0cubg8E01OY17wDY3oXVsAEFHc=s0;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
WYWÓZ NIECZYSTOŚCI PŁYNNYCH - HENRYK WABIŃSKI;	Piaski;	62-020;	Swarzędz;	52.4079834;	17.07451769999999;	;	791 810 810http://www.wywoz-nieczystosci.pl/;	null;	06:00–18:30;	06:00–18:30;	06:00–18:30;	06:00–18:30;	06:00–18:30;	06:00–16:00;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych PSZOK;	Unnamed Road;	62-070;	Dopiewo;	52.3372019;	16.67105549999999;	null;	https://www.dopiewo.pl/aktualnosci/2016-03-17/pszok-w-dopiewie;	null;	15:00–19:00;	15:00–19:00;	15:00–19:00;	15:00–19:00;	15:00–19:00;	11:00–15:00;	Zamknięte
eko-odpady.pl;	Żwirki i Wigury 25;	62-020;	Swarzędz;	52.412255699999996;	17.089318;	606288722;	http://eko-odpady.pl/;	null;	null;	null;	null;	null;	null;	null;	null
PSZOK Mosina;	Sowiniecka 6G;	62-050;	Mosina;	52.241129099999995;	16.853749;	618132321;	null;	null;	11:00–19:00;	Zamknięte;	11:00–19:00;	11:00–19:00;	11:00–19:00;	09:00–17:00;	Zamknięte
Punkt Selektywnego Zbierania Odpadów Komunalnych w Krotoszynie;	Ceglarska;	63-700;	Krotoszyn;	51.6835026;	17.449575;	534262960;	http://eko7.krotoszyn.pl/index.php/punkty-selektywnego-zbierania-odpadow;	https://lh5.googleusercontent.com/p/AF1QipNswWfxMA2dG1WnZF5JmUAw1639CBKLbkhKtH4Z=s0;	08:00–16:00;	Zamknięte;	08:00–16:00;	Zamknięte;	08:00–16:00;	Zamknięte;	Zamknięte
Związek Międzygminny „EKO SIÓDEMKA”;	Kołłątaja 7;	63-700;	Krotoszyn;	51.6920005;	17.43139009999999;	627226632;	http://eko7.krotoszyn.pl/index.php;	null;	07:30–15:30;	07:30–15:30;	07:30–15:30;	07:30–15:30;	07:30–15:30;	Zamknięte;	Zamknięte
Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej;	Polna 4;	62-700;	Turek;	52.0167662;	18.526936;	632800321;	http://www.pgkim-turek.pl/;	https://lh5.googleusercontent.com/p/AF1QipMbiHhcqmNFEUj78BbXFg5nwnSymXSHKSstOTY4=s0;	10:00–18:00;	Zamknięte;	10:00–18:00;	Zamknięte;	Zamknięte;	07:00–12:00;	Zamknięte
Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej. Sp. z o.o. Oczyszczalnia ścieków;	Graniczna 1;	62-700;	Turek;	52.025470999999996;	18.52251;	632785723;	null;	null;	null;	null;	null;	null;	null;	null;	null
Schronisko dla Bezdomnych Zwierząt;	null;	62-700;	Turek;	52.0268345;	18.524498;	null;	null;	null;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00
Zakład Usług Komunalnych;	Kasztanowa 18;	63-200;	Jarocin;	51.975432;	17.499547;	627473680;	http://www.zuk-jarocin.pl/;	null;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	Zamknięte;	Zamknięte
ZGO-NOVA Sp. z o. o.;	im. Mariusza Małynicza 1;	63-200;	Witaszyczki;	51.973121199999994;	17.535652;	625942672;	http://zgo-nova.pl/;	null;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	Zamknięte;	Zamknięte
Remondis Sanitech Poznań Sp. z o.o. Oddział;	Skocka 13A;	62-100;	Wągrowiec;	52.799864899999996;	17.192147;	null;	null;	null;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	09:00–13:00;	Zamknięte
Miejski Zakład Usług Komunalnych Sp. z o.o.;	Dąbska 40K;	62-600;	Koło;	52.199177;	18.65058;	632722139;	http://www.mzuk.kolo.pl/bip/kontakt.html;	null;	Zamknięte;	12:00–17:00;	Zamknięte;	12:00–17:00;	Zamknięte;	Zamknięte;	Zamknięte
PreZero Service Centrum Sp. z o.o. - Oddział Koło;	Sosnowa 1;	62-600;	Koło;	52.220504;	18.61380;	null;	null;	null;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
Stacja Przeładunkowa Odpadów Komunalnych w Rawiczu;	null;	63-900;	Rawicz;	51.625540799999996;	16.891292;	506181616;	null;	https://lh5.googleusercontent.com/p/AF1QipPBrWDwv3iLwAwmMkMR01-RZmvkKE3sDuDK0qXk=s0;	06:00–18:00;	06:00–18:00;	06:00–18:00;	06:00–18:00;	06:00–18:00;	08:00–15:00;	Zamknięte
Miejski Zakład Usług Komunalnych Sp. z o.o. \\u0026 Novago Złotów Sp. z o.o;	Szpitalna 38;	77-400;	Złotów;	53.3543624;	17.04698179999999;	672633011;	https://novago-zlotow.pl/punkty-selektywnej-zbiorki-odpadow-komunalnych/;	null;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
PSZOK Punkt Selektywnej Zbiórki Odpadów Komunalnych Jastrowie;	null;	64-915;	Jastrowie;	53.4105415;	16.82516279999999;	668860393;	null;	null;	09:00–17:00;	Zamknięte;	09:00–17:00;	Zamknięte;	Zamknięte;	09:00–17:00;	Zamknięte
Związek Gmin Krajny w Złotowie;	Wawrzyniaka 4A;	77-400;	Złotów;	53.3622168;	17.034617;	673533941;	http://zgk.zlotow.pl/;	null;	07:00–16:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–14:00;	Zamknięte;	Zamknięte
Sanitoy Złotów;	aleja Rodła 45;	77-400;	Złotów;	53.376827899999995;	17.02391;	605956907;	http://sanitoy.com.pl/;	https://lh5.googleusercontent.com/p/AF1QipMc0vILBlHDLNG82y8IsnUeuloyTWYK777DBQHI=s0;	null;	null;	null;	null;	null;	null;	null
Zakład Zagospodarowania Odpadów w Stawnicy;	null;	77-400;	Stawnica;	53.381001999999995;	17.060366;	734175069;	http://mzuk-zlotow.pl/;	null;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	Zamknięte;	Zamknięte
Zakład Oczyszczania Miasta \\\"ŁAD\\\";	Młyńska 3;	64-800;	Chodzież;	52.985138;	16.918876;	672821789;	null;	null;	08:00–14:00;	08:00–14:00;	08:00–14:00;	08:00–14:00;	08:00–14:00;	Zamknięte;	Zamknięte
Zakład Oczyszczania Miasta s.c.;	Fabryczna 4;	64-800;	Chodzież;	52.995907499999994;	16.908606;	501681530;	http://www.zom-chodziez.pl/;	null;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
PSZOK Oborniki – Punkt Selektywnego Zbierania Odpadów Komunalnych;	Lipowa 19;	64-600;	Oborniki;	52.6457822;	16.818822;	612961206;	null;	null;	09:00–17:00;	Zamknięte;	09:00–17:00;	Zamknięte;	09:00–17:00;	08:00–13:00;	Zamknięte
Przedsiębiorstwo Komunalne Sp. z o.o.;	Polna 71;	63-300;	Pleszew;	51.8914194;	17.813994;	627421664;	https://pkpleszew.pl/;	https://lh5.googleusercontent.com/p/AF1QipP-Y5BwJ1e0qFEM_CCyny9LTIMEYhEmIMiv_78q=s0;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
Stacjonarny Punkt Selektywnego Zbierania Odpadów Komunalnych (SPSZOK);	Polna 71;	63-300;	Pleszew;	51.891423599999996;	17.81473519999999;	;	62 741 23 03https://pkpleszew.pl;	null;	06:00–22:00;	06:00–22:00;	06:00–22:00;	06:00–22:00;	06:00–22:00;	06:00–15:00;	Zamknięte
PSZOK Punkt Selektywnej Zbiórki Odpadów Komunalnych w Trzciance;	null;	64-980;	Trzcianka;	53.0271014;	16.46343719999999;	672163313;	http://kombud.org.pl/pszok/;	https://lh5.googleusercontent.com/p/AF1QipPwcOOCpbO0RZvL7aodCK-tnWOTE32MbXMzZvSn=s0;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–14:00;	Zamknięte
EKO-REGION Sp.z.o.o Składowisko Odpadów Ostrzeszów;	Ceglarska;	63-500;	Ostrzeszów;	51.439588199999996;	17.947401;	null;	null;	null;	null;	null;	null;	null;	null;	null;	null
Zakład Zagospodarowania Odpadów Olszowa Sp. z o.o.;	Bursztynowa 55;	63-600;	Olszowa;	51.311481;	18.04287;	627821190;	https://www.zzo-olszowa.pl/;	https://lh5.googleusercontent.com/p/AF1QipOTno1rB6RUCBZDq6AiGpe5F5vs3dni3zOVqjJW=s0;	07:00–18:00;	07:00–18:00;	07:00–18:00;	07:00–18:00;	07:00–18:00;	09:00–14:00;	Zamknięte
PPUH PETER;	Wrocławska 61;	63-600;	Kępno;	51.2828488;	17.96502049999999;	627824835;	http://peter-kepno.pl;	https://lh5.googleusercontent.com/p/AF1QipMhd5XhwG5H-Mq4jPTFnstP-zILaOhJbt3BTFY=s0;	07:00–16:00;	07:00–16:00;	07:00–16:00;	07:00–16:00;	07:00–16:00;	Zamknięte;	Zamknięte
PSZOK Długołęka, ul. Komunalna;	55-093;	Bielawa;	null;	51.1565011;	17.23996679999999;	713988036;	https://zuk-kielczow.pl/punkt-selektywnej-zbiorki-odpadow-komunalnych/;	https://lh5.googleusercontent.com/p/AF1QipO50m-U8UZpYWqAhiWWRwe5EPXRJqmriB5br6-B=s0;	Zamknięte;	Zamknięte;	Zamknięte;	11:00–17:00;	Zamknięte;	08:00–15:00;	Zamknięte
PSZOK Milicz;	Stawiec 40b;	56-300;	Milicz;	51.5569492;	17.270263;	667661131;	null;	null;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	08:00–16:00;	Zamknięte;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów;	Leśna 47;	55-114;	Mienice;	51.2614387;	16.991630;	501397660;	https://www.wiszniamala.pl/dla-mieszkancow/ochrona-srodowiska/gospodarka-odpadami/punkt-selektywnej-zbiorki-odpadow;	null;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–15:00;	Zamknięte
Słupeckie Gospodarstwo Komunalne sp. z o.o.;	Wspólna 8;	62-400;	Słupca;	52.280035299999994;	17.88870;	632751829;	https://www.cylex-polska.pl/firmy/s%C5%82upeckie-gospodarstwo-komunalne-sp--z-o-o--w-s%C5%82upcy-10447468.html;	null;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
Związek Międzygminny Obra;	Berzyna 6;	64-200;	Berzyna;	52.0986768;	16.11128;	683474270;	http://www.zmobra.pl/;	https://lh5.googleusercontent.com/p/AF1QipMJrXfJbHe-cn7lsk6oG9eGuME_I8mePSl-Y6e8=s0;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
Przedsiębiorstwo Gospodarki Komunalnej Sp. z o.o.;	Berzyna 6;	64-200;	Berzyna;	52.098588799999995;	16.111458;	683842525;	https://pgk-wolsztyn.pl;	https://lh5.googleusercontent.com/p/AF1QipMJrXfJbHe-cn7lsk6oG9eGuME_I8mePSl-Y6e8=s0;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych (PSZOK);	Niepodległości;	64-510;	Wronki;	52.708943299999994;	16.38117309999999;	672545641;	https://wronki.pl/pszok.html;	null;	08:00–16:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	08:00–14:00;	Zamknięte
Siwiński Henryk. Wysypisko śmieci;	null;	64-610;	Studzieniec;	52.7004677;	17.036837;	672619394;	null;	null;	10:00–18:00;	Zamknięte;	07:00–15:00;	Zamknięte;	Zamknięte;	Zamknięte;	Zamknięte
PSZOK - Punkt selektywnego skladownia odpadów komunalnych;	Szkolna;	62-080;	Rumianek;	52.4699185;	16.625145;	510911184;	null;	https://lh5.googleusercontent.com/p/AF1QipPEmmJwoOyLDHp8bxRHT3pvN30ISIahgjqoKQw_=s0;	07:00–18:00;	07:00–18:00;	07:00–18:00;	07:00–18:00;	07:00–18:00;	Zamknięte;	Zamknięte
PSZOK Gminy Ryczywół;	Unnamed Road;	64-630;	Ryczywół;	52.821220999999994;	16.831477;	null;	null;	null;	null;	null;	null;	null;	null;	null;	null
Urząd Miejski w Rogoźnie;	Nowa 2;	64-610;	Rogoźno;	52.7495;	16.999499;	672684400;	672684400;	null;	08:00–16:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
PSZOK Bolechowo – Punkt Selektywnego Zbierania Odpadów Komunalnych;	Poligonowa 1a;	62-005;	Bolechowo;	52.5436924;	16.989294;	607414414;	null;	null;	08:00–17:00;	Zamknięte;	08:00–17:00;	Zamknięte;	08:00–17:00;	08:00–14:00;	Zamknięte
Wywóz i Gospodarka Odpadami - Usługi Pogrzebowe Miejski Zakład Komunalny;	Browarna 6;	64-700;	Czarnków;	52.9044737;	16.557440;	672552453;	http://www.mzk.czarnkow.pl/;	https://lh5.googleusercontent.com/p/AF1QipPsl4WRO-a5ODFDjgphWhujSGffOC7zJpqqtQ6_=s0;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych (PSZOK) Gmina Międzychód;	Bolesława Chrobrego 24A;	64-400;	Międzychód;	52.610881899999995;	15.90616479999999;	957482041;	https://miedzychod.pl/strona/menu/147_wazne_informacje_dla_mieszkancow;	null;	Zamknięte;	08:00–17:00;	Zamknięte;	11:00–15:00;	Zamknięte;	Zamknięte;	Zamknięte
PSZOK Kostrzyn;	Sportowa;	66-470;	Kostrzyn nad Odrą;	52.594227499999995;	14.655163;	null;	null;	null;	Zamknięte;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–15:00;	Zamknięte
LS-Plus Sp. z o.o. PW;	Przemysłowa;	64-330;	Opalenica;	52.326202699999996;	16.40203;	614475171;	http://lsplus.pl/odpadykomunalne/;	https://lh5.googleusercontent.com/p/AF1QipPvFUyrpuHO1642hi4fq43P9vD-BOWCeO1PoD3B=s0;	07:00–16:00;	07:00–16:00;	07:00–16:00;	07:00–16:00;	07:00–16:00;	07:00–10:00;	Zamknięte
Składowisko odpadów;	null;	64-330;	Opalenica;	52.3386077;	16.399789;	null;	null;	null;	null;	null;	null;	null;	null;	null;	null
Punkt Selektywnej Zbiórki Odpadów Komunalnych - PSZOK Przemęt - PGO ZAJĄC;	Starkowska 10;	64-234;	Przemęt;	51.998614499999995;	16.30607;	601055363;	http://www.pgozajac.pl/;	https://lh5.googleusercontent.com/p/AF1QipMgs2oH325VOEgaLYYyXGeMRCG0Dq_2dpQOKLkj=s0;	08:00–17:00;	08:00–17:00;	08:00–17:00;	08:00–17:00;	08:00–17:00;	08:00–14:00;	Zamknięte
Zakład Komunalny w Pobiedziskach Sp. z o.o.;	Poznańska 58;	62-010;	Pobiedziska;	52.4755529;	17.267334;	618177074;	https://zk-pobiedziska.pl;	https://lh5.googleusercontent.com/p/AF1QipOnvADk-urrX0qllk565XLjH3dO2iSo3REemAHS=s0;	07:30–14:00;	07:30–14:00;	07:30–14:00;	07:30–14:00;	07:30–14:00;	Zamknięte;	Zamknięte
Zakład Oczyszczania Miasta (ZOM);	Unnamed Road;	62-010;	Pobiedziska;	52.481961399999996;	17.259580;	null;	null;	null;	null;	null;	null;	null;	null;	null;	null
Komunalne wysypisko odpadów stałych;	null;	62-010;	Wagowo;	52.491723699999994;	17.258187;	618177031;	null;	null;	null;	null;	null;	null;	null;	null;	null
